strategy,base_strategy,regime_filtered,symbol,timeframe,sharpe,cagr,max_drawdown,win_rate,profit_factor,trade_count,total_return,gate1_pass,halted
macd_momentum,macd_momentum,False,META,1d,0.0244,-0.0006,0.1525,0.4423,1.16,52,-0.0029,False,False
macd_momentum+regime,macd_momentum,True,META,1d,0.3082,0.0215,0.0817,0.4872,2.23,39,0.1115,False,False
triple_screen,triple_screen,False,META,1d,-1.5827,-0.0906,0.2007,0.3333,0.32,21,-0.1503,False,True
triple_screen+regime,triple_screen,True,META,1d,0.0548,0.0006,0.2017,0.5942,1.06,69,0.0022,False,True
atr_breakout,atr_breakout,False,META,1d,-1.6505,-0.2053,0.2033,0.1333,0.19,15,-0.1758,False,True
atr_breakout+regime,atr_breakout,True,META,1d,0.5542,0.0617,0.1268,0.3571,1.54,56,0.3475,False,False
momentum_long,momentum_long,False,META,1d,0.81,0.0964,0.2094,0.6667,33.38,3,0.4437,False,True
momentum_long+regime,momentum_long,True,META,1d,1.1644,0.275,0.2053,0.6,17.79,5,1.6176,False,True
alpha_composite,alpha_composite,False,META,1d,0.4084,0.0457,0.1951,0.5047,1.59,107,0.2491,False,False
alpha_composite+regime,alpha_composite,True,META,1d,0.8058,0.1391,0.1516,0.5441,1.82,68,0.913,False,False
alpha_trend_v2,alpha_trend_v2,False,META,1d,-1.24,-0.1296,0.2025,0.3488,0.3,43,-0.1978,False,True
alpha_trend_v2+regime,alpha_trend_v2,True,META,1d,0.8794,0.1378,0.1111,0.5833,1.86,72,0.9018,False,False
alpha_momentum_v2,alpha_momentum_v2,False,META,1d,-0.6673,-0.1352,0.2029,0.4211,0.31,19,-0.1412,False,True
alpha_momentum_v2+regime,alpha_momentum_v2,True,META,1d,0.9641,0.24,0.2002,0.4483,2.27,29,1.0433,False,True
ema_crossover,ema_crossover,False,MSFT,1d,0.6168,0.0105,0.0362,0.3478,2.04,23,0.0536,False,False
ema_crossover+regime,ema_crossover,True,MSFT,1d,0.8034,0.028,0.0472,0.4211,2.22,19,0.1474,False,False
donchian_bo,donchian_bo,False,MSFT,1d,-1.4047,-0.0119,0.0588,0.2824,0.41,85,-0.0579,False,False
donchian_bo+regime,donchian_bo,True,MSFT,1d,-1.2105,-0.0094,0.046,0.2712,0.44,59,-0.046,False,False
macd_momentum,macd_momentum,False,MSFT,1d,0.1089,0.0043,0.0813,0.4118,0.75,51,0.0217,False,False
macd_momentum+regime,macd_momentum,True,MSFT,1d,-0.0746,-0.0051,0.1232,0.3902,0.51,41,-0.0251,False,False
